State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Rate Definition",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"Bottom Quartile","Top Quartile",Notes,"State Specific Comments",Source,"Rate Used in Calculating State Mean and Median"
Hawaii,"Behavioral Health Care","Adult Core Set","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older",FUA/FUM-AD,"Percentage of Emergency Department (ED) Visits for Alcohol and Other Drug Abuse or Dependence with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 18-64",2018,"Medicaid & Dual Eligibles",Administrative,13.8,30,11.7,6.4,17.9,,"Rates include managed care population (5 MCOs). Follow-up after ED visit for mental illness rates include beneficiaries age 6 and older. Follow-up after ED visit for alcohol and other drug abuse or dependence rates include beneficiaries age 13 and older.  Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Behavioral Health Care","Adult Core Set","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older",FUA/FUM-AD,"Percentage of Emergency Department (ED) Visits for Alcohol and Other Drug Abuse or Dependence with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 18-64",2018,"Medicaid & Dual Eligibles",Administrative,21.7,30,17.1,10.7,27.5,,"Rates include managed care population (5 MCOs). Follow-up after ED visit for mental illness rates include beneficiaries age 6 and older. Follow-up after ED visit for alcohol and other drug abuse or dependence rates include beneficiaries age 13 and older.  Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2018,"Medicaid & Dual Eligibles",Administrative,38.4,43,38,30.5,51,,"Rates include managed care population (5 MCOs) age 6 and older. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2018,"Medicaid & Dual Eligibles",Administrative,55.4,42,58.6,51.1,67,,"Rates include managed care population (5 MCOs) age 6 and older. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18-64",2018,"Medicaid & Dual Eligibles",Administrative,NR,32,38.8,36.3,41.5,"NR = State did not report the measure for this population","Rates include managed care population (5 MCOs) age 13 and older.  State was unable to report separate rates for Alcohol Abuse or Dependence, Opioid Abuse or Dependence and other Drug Abuse or Dependence for FFY 2018. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18-64",2018,"Medicaid & Dual Eligibles",Administrative,NR,32,11.6,7.7,15.3,"NR = State did not report the measure for this population","Rates include managed care population (5 MCOs) age 13 and older.  State was unable to report separate rates for Alcohol Abuse or Dependence, Opioid Abuse or Dependence and other Drug Abuse or Dependence for FFY 2018. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Opioid Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18-64",2018,"Medicaid & Dual Eligibles",Administrative,NR,32,46.3,38.4,56.7,"NR = State did not report the measure for this population","Rates include managed care population (5 MCOs) age 13 and older.  State was unable to report separate rates for Alcohol Abuse or Dependence, Opioid Abuse or Dependence and other Drug Abuse or Dependence for FFY 2018. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Opioid Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18-64",2018,"Medicaid & Dual Eligibles",Administrative,NR,32,25.4,13.6,35.6,"NR = State did not report the measure for this population","Rates include managed care population (5 MCOs) age 13 and older.  State was unable to report separate rates for Alcohol Abuse or Dependence, Opioid Abuse or Dependence and other Drug Abuse or Dependence for FFY 2018. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Other Drug Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18-64",2018,"Medicaid & Dual Eligibles",Administrative,NR,32,38.5,34.7,40.9,"NR = State did not report the measure for this population","Rates include managed care population (5 MCOs) age 13 and older.  State was unable to report separate rates for Alcohol Abuse or Dependence, Opioid Abuse or Dependence and other Drug Abuse or Dependence for FFY 2018. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Other Drug Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18-64",2018,"Medicaid & Dual Eligibles",Administrative,NR,32,11.2,8.7,13.3,"NR = State did not report the measure for this population","Rates include managed care population (5 MCOs) age 13 and older.  State was unable to report separate rates for Alcohol Abuse or Dependence, Opioid Abuse or Dependence and other Drug Abuse or Dependence for FFY 2018. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Other Drug Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18-64",2018,"Medicaid & Dual Eligibles",Administrative,39.7,34,40,36.2,43.7,,"Rates include managed care population (5 MCOs) age 13 and older.  State was unable to report separate rates for Alcohol Abuse or Dependence, Opioid Abuse or Dependence and other Drug Abuse or Dependence for FFY 2018. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Other Drug Abuse or Dependence who Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18-64",2018,"Medicaid & Dual Eligibles",Administrative,13.3,34,14.5,9.9,19.6,,"Rates include managed care population (5 MCOs) age 13 and older.  State was unable to report separate rates for Alcohol Abuse or Dependence, Opioid Abuse or Dependence and other Drug Abuse or Dependence for FFY 2018. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2018,"Medicaid & Dual Eligibles",Administrative,88.8,36,87.3,85.3,89.2,,"Rate includes managed care population (5 MCOs) age 18 and older. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Poor Control (>9.0%): Ages 18-75",HPC-AD,"Percentage with Diabetes (Type 1 or Type 2) who had Hemoglobin A1c in Poor Control (>9.0%): Ages 18-64",2018,"Medicaid & Dual Eligibles","Administrative & Hybrid",41.0,27,39.8,47.3,34.7,,"Rate includes managed care population (5 MCOs) ages 18 to 75.  Rate was derived using both administrative and hybrid method data. One MCO used the administrative method and four MCOs used the hybrid method. Denominator is the measure-eligible population.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2018,"Medicaid & Dual Eligibles","Administrative & Hybrid",85.2,38,85.3,80.5,87.2,,"Rate includes managed care population (5 MCOs) ages 18 to 75.  Rate was derived using both administrative and hybrid method data. One MCO used the administrative method and four MCOs used the hybrid method. Denominator is the measure-eligible population.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled During the Measurement Year: Ages 18-64",2018,"Medicaid & Dual Eligibles",Hybrid,52.1,28,57.8,50.9,63,,"Rate includes managed care population (5 MCOs) ages 18 to 85. Denominator is the measure-eligible population; sample size is not available. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2018,Medicaid,"Administrative & Hybrid",52.4,37,61.3,56.4,65.7,,"Rate includes managed care population (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.  Rate was derived using both administrative and hybrid method data. One MCO used the administrative method and four MCOs used the hybrid method. Denominator is the measure-eligible population. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2018,"Medicaid & Dual Eligibles",Administrative,59.5,41,54.6,50.9,59.1,,"Rate includes managed care population (5 MCOs) ages 50 to 74. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64",2018,Medicaid,"Administrative & Hybrid",59.7,40,56.1,50.2,61,,"Rate includes managed care population (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was derived using both administrative and hybrid method data. One MCO used the administrative method and four MCOs used the hybrid method. Denominator is the measure-eligible population. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Hawaii,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24",2018,Medicaid,Administrative,55.0,38,60.8,55,67.2,,"Rate includes managed care population (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2018,"Medicaid & CHIP",Administrative,54.7,33,57.7,54.4,64.9,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2018,"Medicaid & CHIP",Administrative,41.7,33,50.3,47,52.6,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. State converts Place of Service (POS) codes using a standard conversion to the state's POS codes with specific exceptions to meet the measure specifications. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2018,"Medicaid & CHIP",Administrative,23.1,33,34.8,30.6,37.6,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. State converts Place of Service (POS) codes using a standard conversion to the state's POS codes with specific exceptions to meet the measure specifications. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2018,"Medicaid & CHIP",Administrative,91.5,32,80.1,76.9,82.4,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2018,"Medicaid & CHIP",Administrative,26.4,43,38,30.5,51,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2018,"Medicaid & CHIP",Administrative,42.5,42,58.6,51.1,67,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18-64",2018,"Medicaid & CHIP",Administrative,32.4,32,38.8,36.3,41.5,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18-64",2018,"Medicaid & CHIP",Administrative,8.9,32,11.6,7.7,15.3,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Opioid Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18-64",2018,"Medicaid & CHIP",Administrative,41.4,32,46.3,38.4,56.7,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Opioid Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18-64",2018,"Medicaid & CHIP",Administrative,18.1,32,25.4,13.6,35.6,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Other Drug Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18-64",2018,"Medicaid & CHIP",Administrative,36.1,32,38.5,34.7,40.9,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Other Drug Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18-64",2018,"Medicaid & CHIP",Administrative,11.2,32,11.2,8.7,13.3,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Other Drug Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18-64",2018,"Medicaid & CHIP",Administrative,40.0,34,40,36.2,43.7,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Other Drug Abuse or Dependence who Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18-64",2018,"Medicaid & CHIP",Administrative,13.1,34,14.5,9.9,19.6,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2018,"Medicaid & CHIP",Administrative,81.5,36,87.3,85.3,89.2,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2018,"Medicaid & CHIP",Administrative,81.9,38,85.3,80.5,87.2,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Beneficiary Months: Ages 18-64",2018,"Medicaid & CHIP",Administrative,13.3,28,16.4,21.3,13.3,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 05: Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate: Age 40 and Older",PQI05-AD,"Inpatient Hospital Admissions for Chronic Obstructive Pulmonary Disease (COPD) or Asthma per 100,00 Beneficiary Months: Ages 40-64",2018,"Medicaid & CHIP",Administrative,61.3,25,94.5,112.5,56.7,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 08: Heart Failure Admission Rate: Age 18 and Older",PQI08-AD,"Inpatient Hospital Admissions for Heart Failure per 100,000 Beneficiary Months: Ages 18-64",2018,"Medicaid & CHIP",Administrative,21.5,25,24.8,34.6,19.1,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Maternal and Perinatal Health","Adult Core Set","Contraceptive Care: Postpartum Women Ages 21-44",CCP-AD,"Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 3 Days of Delivery: Ages 21-44",2018,"Medicaid & CHIP",Administrative,7.7,29,10.6,7.7,12.8,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Maternal and Perinatal Health","Adult Core Set","Contraceptive Care: Postpartum Women Ages 21-44",CCP-AD,"Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 60 Days of Delivery: Ages 21-44",2018,"Medicaid & CHIP",Administrative,26.5,29,39.4,32.2,45.7,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Maternal and Perinatal Health","Adult Core Set","Contraceptive Care: Postpartum Women Ages 21-44",CCP-AD,"Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 3 Days of Delivery: Ages 21-44",2018,"Medicaid & CHIP",Administrative,0.7,29,0.8,0.4,1.9,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Maternal and Perinatal Health","Adult Core Set","Contraceptive Care: Postpartum Women Ages 21-44",CCP-AD,"Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 60 Days of Delivery: Ages 21-44",2018,"Medicaid & CHIP",Administrative,11.2,29,12.9,8.5,15.3,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2018,"Medicaid & CHIP",Administrative,56.0,37,61.3,56.4,65.7,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64 Years",2018,"Medicaid & CHIP",Administrative,13.3,35,82,43.3,89.3,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2018,"Medicaid & CHIP",Administrative,52.4,41,54.6,50.9,59.1,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64",2018,"Medicaid & CHIP",Administrative,52.3,40,56.1,50.2,61,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Illinois,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24",2018,"Medicaid & CHIP",Administrative,57.6,38,60.8,55,67.2,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
