State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Rate Definition",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"Bottom Quartile","Top Quartile",Notes,"State Specific Comments",Source,Location
Nebraska,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64 Years",2017,"Medicaid & CHIP & Dual Eligibles",Administrative,14.6,32,78.6,27.6,87.7,,"Rate includes FFS and managed care populations (3 MCOs).","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nebraska
(41.527099, -99.810595)"
Kentucky,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64 Years",2017,"Medicaid & Dual Eligibles",Hybrid,57.0,40,55.0,48.4,60.1,,"Rate includes managed care population (5 MCOs), representing 90 percent of the population. Rate excludes FFS population, representing 10 percent of the population. Denominator is the sample size; measure-eligible population is 243,811. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Kentucky
(37.526683, -85.290484)"
Arizona,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2017,"Medicaid & Dual Eligibles",Administrative,63.6,43,63.6,54.8,74.6,,"Rates include managed care population (1 MCO), representing 78 percent of the population. Rates exclude FFS population, representing 22 percent of the population, and state long-term care system and elderly, physically, or developmentally disabled populations. Rates include services provided by Regional Health Centers, Behavioral Health Outpatient Clinics, Integrated Clinics, and Federally Qualified Health Centers. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arizona
(34.293239, -111.664616)"
"New York","Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2017,"Medicaid & CHIP",Hybrid,71.1,39,60.1,54.1,65.9,,"Rate includes managed care population (18 MCOs), representing 76 percent of the population. Rate excludes FFS population, representing 24 percent of the population, and Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 88,461. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New York
(42.921241, -75.59655)"
Delaware,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2017,Medicaid,Administrative,53.4,31,61.9,56.6,66.2,,"Rate includes managed care population (2 MCOs), representing 90 percent of the population. Rate excludes FFS population, representing 10 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Delaware
(38.994926, -75.452394)"
Delaware,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64 Years",2017,Medicaid,Hybrid,43.0,40,55.0,48.4,60.1,,"Rate includes managed care population (2 MCOs), representing 90 percent of the population. Rate excludes FFS population, representing 10 percent of the population, and Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 40,965.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Delaware
(38.994926, -75.452394)"
California,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2017,Medicaid,Administrative,58.4,31,61.9,56.6,66.2,,"Rate includes FFS and managed care populations (26 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was audited using decision support software. Rate is provisional due to changes in the Medicaid program and data systems during this period.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","California
(37.211164, -119.662127)"
Pennsylvania,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated Treatment: Ages 18-64",2017,Medicaid,Administrative,25.6,30,37.0,34.7,41.0,,"Rates include managed care population (9 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Data were submitted by MCOs and compiled by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Pennsylvania
(40.896694, -77.838886)"
Delaware,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2017,"Medicaid & Dual Eligibles",Administrative,60.9,42,41.9,33.5,59.4,,"Rates include managed care population (2 MCOs), representing 90 percent of the population. Rates exclude FFS population, representing 10 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Delaware
(38.994926, -75.452394)"
Arkansas,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2017,"Medicaid & CHIP",Administrative,76.6,30,78.9,73.6,80.6,,"Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was audited by state data contractor.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arkansas
(34.899825, -92.439162)"
Louisiana,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years",2017,"Medicaid & CHIP",Administrative,51.4,39,54.7,48.4,60.9,,"Rate includes FFS and managed care populations (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was calculated using HEDIS-certified code and the state conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Louisiana
(30.921314, -91.840238)"
"District of Columbia","Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2017,"Medicaid & Dual Eligibles",Administrative,45.5,33,50.4,45.5,52.6,,"Rates include managed care population (4 MCOs) age 18 and older, representing 69 percent of the population. Rates exclude FFS population, representing 31 percent of the population. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","District of Columbia
(38.904785, -77.016275)"
Kentucky,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24 Years",2017,"Medicaid & Dual Eligibles",Administrative,58.1,40,61.1,54.3,67.9,,"Rate includes managed care population (5 MCOs), representing 90 percent of the population. Rate excludes FFS population, representing 10 percent of the population. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Kentucky
(37.526683, -85.290484)"
Florida,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2017,Medicaid,Administrative,80.6,30,78.9,73.6,80.6,,"Rate includes managed care population (17 MCOs), representing 69 percent of the population. Rate excludes FFS population, representing 31 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Florida
(28.260731, -82.420978)"
"New Hampshire","Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Enrollee Months: Ages 18-64",2017,Medicaid,Administrative,19.7,29,18.0,23.4,14.1,,"Rate includes FFS and managed care populations (2 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Hampshire
(43.680429, -71.57139)"
Pennsylvania,"Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90 mmHg) During the Measurement Year: Ages 18-64",2017,Medicaid,Hybrid,63.2,26,56.7,52.5,65.9,,"Rate includes managed care population (9 MCOs) ages 18 to 85. Rate excludes Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 122,317. Data were submitted by MCOs and compiled by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Pennsylvania
(40.896694, -77.838886)"
Missouri,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated Treatment: Ages 18-64",2017,"Medicaid & CHIP",Administrative,41.0,30,37.0,34.7,41.0,,"Rates include FFS and managed care populations (3 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Missouri
(38.3675, -92.477244)"
"New Jersey","Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years",2017,"Medicaid & CHIP",Administrative,58.2,39,54.7,48.4,60.9,,"Rate includes managed care population (5 MCOs) ages 50 to 74, representing 91 percent of the population. Rate excludes FFS population, representing 9 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Jersey
(40.110253, -74.655514)"
"District of Columbia","Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2017,"Medicaid & CHIP & Dual Eligibles",Administrative,46.6,43,63.6,54.8,74.6,,"Rates include managed care population (4 MCOs) age 6 and older, representing 69 percent of the population. Rates exclude FFS population, representing 31 percent of the population. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","District of Columbia
(38.904785, -77.016275)"
Michigan,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2017,Medicaid,Administrative,47.2,33,50.4,45.5,52.6,,"Rates include FFS and managed care populations (11 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Data source is the state's Data Warehouse, which contains MMIS data and pharmacy data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Michigan
(44.874798, -85.730977)"
"New Hampshire","Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years",2017,Medicaid,Administrative,61.2,39,54.7,48.4,60.9,,"Rate includes managed care population (2 MCOs), representing 84 percent of the population. Rate excludes FFS population, representing 16 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Hampshire
(43.680429, -71.57139)"
Oregon,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18-39",PQI15-AD,"Inpatient Hospital Admissions for Asthma per 100,000 Enrollee-Months: Ages 18-39",2017,"Medicaid & CHIP & Dual Eligibles",Administrative,4.0,26,5.8,8.8,4.0,,"Rate includes managed care population (16 CCOs), representing 75 percent of the population. Rate excludes FFS population, representing 25 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Oregon
(43.940449, -120.605279)"
Oklahoma,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2017,"Medicaid & CHIP & Dual Eligibles",Administrative,21.8,39,60.1,54.1,65.9,,"Rate includes FFS and PCCM populations. Rate excludes home- and community-based services waiver enrollees. The majority of the state's providers use global codes for prenatal and postpartum visits and rate was calculated without global codes. As a result, rate may be underestimated. Rate with global billing codes included is 69 percent.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Oklahoma
(35.583449, -97.508297)"
Mississippi,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated and Engaged in Treatment: Ages 18-64",2017,Medicaid,Administrative,5.4,31,14.5,10.3,17.8,,"Rates include managed care population (2 MCOs), representing 68 percent of the population. Rates exclude FFS population, representing 32 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Mississippi
(32.713378, -89.65344)"
"New Mexico","Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90 mmHg) During the Measurement Year: Ages 18-64",2017,Medicaid,Hybrid,54.3,26,56.7,52.5,65.9,,"Rate includes managed care population (4 MCOs) ages 18 to 85. Rate excludes Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 33,776. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Mexico
(34.421369, -106.108388)"
Nevada,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Poor Control (>9.0%): Ages 18-75",HPC-AD,"Percentage with Diabetes (Type 1 or Type 2) who had Hemoglobin A1c in Poor Control (>9.0%): Ages 18-64",2017,Medicaid,Hybrid,44.1,27,41.9,47.6,36.0,,"Rate includes managed care population (2 MCOs), representing 69 percent of the population. Rate excludes FFS population, representing 31 percent of the population, and Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 12,050.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nevada
(39.283294, -114.916992)"
"North Carolina","Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Enrollee Months: Ages 18-64",2017,Medicaid,Administrative,24.4,29,18.0,23.4,14.1,,"Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles. State attributes improved performance from FFY 2016 to interdisciplinary care teams that focus on care management strategies and support medical homes for primary care providers to target care for individuals that require complex care management.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Illinois,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2017,"Medicaid & CHIP",Administrative,42.1,33,50.4,45.5,52.6,,"Rates include FFS, PCCM, integrated care model, and managed care populations (13 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. State converts Place of Service (POS) codes using a standard conversion to the state's POS codes with specific exceptions to meet the measure specifications. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Illinois
(40.124144, -89.148632)"
"New Mexico","Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated Treatment: Ages 18-64",2017,Medicaid,Administrative,38.5,30,37.0,34.7,41.0,,"Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Mexico
(34.421369, -106.108388)"
Florida,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64 Years",2017,Medicaid,"Administrative & Hybrid",56.1,40,55.0,48.4,60.1,,"Rate includes managed care population (14 MCOs), representing 69 percent of the population. Rate excludes FFS population, representing 31 percent of the population, and Medicare-Medicaid Dual Eligibles. Rate was derived using both administrative and hybrid method data. One MCO used the administrative method and 13 MCOs used the hybrid method. Denominator is the measure-eligible population. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Florida
(28.260731, -82.420978)"
Alabama,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years",2017,Medicaid,Administrative,43.0,39,54.7,48.4,60.9,,"Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Alabama
(32.756889, -86.844516)"
Maryland,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64 Years",2017,"Medicaid & CHIP",Hybrid,63.1,40,55.0,48.4,60.1,,"Rate includes managed care population (7 MCOs), representing 66 percent of the population. Rate excludes FFS population and enrollees in one MCO, representing 34 percent of the population, and Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 189,516. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Maryland
(38.946466, -76.687282)"
Iowa,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 08: Heart Failure Admission Rate: Age 18 and Older",PQI08-AD,"Inpatient Hospital Admissions for Heart Failure per 100,000 Enrollee Months: Ages 18-64",2017,Medicaid,Administrative,30.8,25,21.9,30.8,16.4,,"Rate includes FFS and managed care populations (3 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State replaced codes for the numerator with the following Value Sets: Heart Failure and Acute Inpatient. State did not use diagnosis codes listed for cardiac procedures, and instead used the Cardiac Procedures Value Set. State did not use Major Diagnostic Category (MDC) Code Admit = 14 (Pregnancy, Childbirth, and Puerperium), and instead used the Pregnancy and Pregnancy Diagnosis Value Sets. State did not use admission source codes for transfers from other hospitals or health facilities (including long-term care), and instead used codes for transfers from an ambulatory surgical center and transfers from hospice in the Point of Origin claims field.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Iowa
(42.074659, -93.500061)"
Arizona,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2017,Medicaid,Administrative,86.7,36,86.8,85.0,89.0,,"Rate includes managed care population (8 MCOs), representing 78 percent of the population. Rate excludes FFS population, representing 22 percent of the population, Medicare-Medicaid Dual Eligibles, and state long-term care system and elderly, physically, or developmentally disabled populations. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arizona
(34.293239, -111.664616)"
"New Hampshire","Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated and Engaged in Treatment: Ages 18-64",2017,Medicaid,Administrative,16.0,31,14.5,10.3,17.8,,"Rates include managed care population (2 MCOs), representing 84 percent of the population. Rates exclude FFS population, representing 16 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Hampshire
(43.680429, -71.57139)"
"New Mexico","Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2017,Medicaid,Administrative,50.4,33,50.4,45.5,52.6,,"Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Mexico
(34.421369, -106.108388)"
Minnesota,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated and Engaged in Treatment: Ages 18-64",2017,"Medicaid & CHIP & Dual Eligibles",Administrative,14.7,31,14.5,10.3,17.8,,"Rates include FFS and managed care populations (8 MCOs). Rates include paid claims only. Rates were audited by a certified HEDIS auditor.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Minnesota
(46.349153, -94.198308)"
Pennsylvania,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2017,Medicaid,Administrative,39.7,34,34.9,29.4,37.6,,"Rates include managed care population (9 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Data were submitted by MCOs and compiled by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Pennsylvania
(40.896694, -77.838886)"
California,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18-39",PQI15-AD,"Inpatient Hospital Admissions for Asthma per 100,000 Enrollee-Months: Ages 18-39",2017,Medicaid,Administrative,2.9,26,5.8,8.8,4.0,,"Rate includes FFS and managed care populations (26 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate is provisional due to changes in the Medicaid program and data systems during this period.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","California
(37.211164, -119.662127)"
"New York","Care of Acute and Chronic Conditions","Adult Core Set","PQI 08: Heart Failure Admission Rate: Age 18 and Older",PQI08-AD,"Inpatient Hospital Admissions for Heart Failure per 100,000 Enrollee Months: Ages 18-64",2017,Medicaid,Administrative,17.3,25,21.9,30.8,16.4,,"Rate includes FFS and managed care populations (72 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New York
(42.921241, -75.59655)"
Georgia,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2017,"Medicaid & CHIP",Administrative,35.2,42,41.9,33.5,59.4,,"Rates include FFS and managed care populations (4 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles and Planning for Healthy Babies (P4HB) demonstration members per CMS Special Terms and Conditions. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Georgia
(32.638481, -83.426574)"
Colorado,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2017,"Medicaid & Dual Eligibles",Administrative,35.3,39,60.1,54.1,65.9,,"Rate includes FFS, PCCM, and managed care populations (4 MCOs). MCO rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Colorado
(38.998552, -105.547832)"
Iowa,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2017,Medicaid,Administrative,86.7,36,86.8,85.0,89.0,,"Rate includes FFS and managed care populations (3 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State applied optional exclusions.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Iowa
(42.074659, -93.500061)"
Ohio,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18-39",PQI15-AD,"Inpatient Hospital Admissions for Asthma per 100,000 Enrollee-Months: Ages 18-39",2017,"Medicaid & CHIP",Administrative,4.8,26,5.8,8.8,4.0,,"Rate includes FFS and managed care populations (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Ohio
(40.415534, -82.70936)"
"New York","Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64 Years",2017,Medicaid,Administrative,63.8,40,55.0,48.4,60.1,,"Rate includes FFS and managed care populations (68 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New York
(42.921241, -75.59655)"
"North Carolina","Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2017,Medicaid,Administrative,44.0,43,63.6,54.8,74.6,,"Rates include FFS and PCCM populations ages 6 to 64. Rates exclude Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Arizona,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64 Years",2017,Medicaid,Administrative,50.6,40,55.0,48.4,60.1,,"Rate includes managed care population (8 MCOs), representing 78 percent of the population. Rate excludes FFS population, representing 22 percent of the population, Medicare-Medicaid Dual Eligibles, and state long-term care system and elderly, physically, or developmentally disabled populations. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arizona
(34.293239, -111.664616)"
