"state","population","measure_abbreviation","state_rate","ffy"
"California","Medicaid","SAA-AD","56.7","2018"
"California","Medicaid","AMM-AD","46.7","2018"
"California","Medicaid","AMM-AD","26.1","2018"
"California","Medicaid","SSD-AD","75.3","2018"
"California","Medicaid","FUA/FUM-AD","47.1","2018"
"California","Medicaid","FUA/FUM-AD","59.1","2018"
"California","Medicaid","FUA/FUM-AD","6.4","2018"
"California","Medicaid","FUA/FUM-AD","10.7","2018"
"California","Medicaid","FUH-AD","54.4","2018"
"California","Medicaid","FUH-AD","67.0","2018"
"California","Medicaid","IET-AD","28.2","2018"
"California","Medicaid","IET-AD","5.3","2018"
"California","Medicaid","IET-AD","37.9","2018"
"California","Medicaid","IET-AD","12.6","2018"
"California","Medicaid","IET-AD","33.6","2018"
"California","Medicaid","IET-AD","8.7","2018"
"California","Medicaid","IET-AD","31.2","2018"
"California","Medicaid","IET-AD","8.0","2018"
"California","Medicaid","MPM-AD","87.8","2018"
"California","Medicaid","AMR-AD","53.2","2018"
"California","Medicaid","AMR-AD","59.3","2018"
"California","Medicaid","AMR-AD","55.3","2018"
"California","Medicaid","HPC-AD","34.9","2018"
"California","Medicaid","HA1C-AD","86.0","2018"
"California","Medicaid","CBP-AD","63.5","2018"
"California","Medicaid","PCR-AD","1.2897","2018"
"California","Medicaid","PQI01-AD","7.9","2018"
"California","Medicaid","PQI15-AD","3.2","2018"
"California","Medicaid","BCS-AD","54.5","2018"
"California","Medicaid","CCS-AD","55.0","2018"
"California","Medicaid","CHL-AD","65.0","2018"
"Connecticut","Medicaid","FUA/FUM-AD","62.6","2018"
"Connecticut","Medicaid","FUA/FUM-AD","74.0","2018"
"Connecticut","Medicaid","FUA/FUM-AD","21.4","2018"
"Connecticut","Medicaid","FUA/FUM-AD","31.5","2018"
"Connecticut","Medicaid","FUH-AD","51.0","2018"
"Connecticut","Medicaid","FUH-AD","70.4","2018"
"Connecticut","Medicaid","PQI08-AD","12.2","2018"
"Connecticut","Medicaid","CHL-AD","73.0","2018"
"Delaware","Medicaid","AMR-AD","48.1","2018"
"Delaware","Medicaid","AMR-AD","55.5","2018"
"Delaware","Medicaid","AMR-AD","49.9","2018"
"Delaware","Medicaid","CCP-AD","18.3","2018"
"Delaware","Medicaid","CCP-AD","45.7","2018"
"Delaware","Medicaid","CCP-AD","7.6","2018"
"Delaware","Medicaid","CCP-AD","16.7","2018"
"Delaware","Medicaid","CCS-AD","35.3","2018"
"Delaware","Medicaid","CHL-AD","65.0","2018"
"Georgia","Medicaid","CCS-AD","46.7","2018"
"Florida","Medicaid","SAA-AD","62.7","2018"
"Florida","Medicaid","AMM-AD","52.6","2018"
"Florida","Medicaid","AMM-AD","37.2","2018"
"Florida","Medicaid","SSD-AD","80.8","2018"
"Florida","Medicaid","FUA/FUM-AD","28.0","2018"
"Florida","Medicaid","FUA/FUM-AD","45.2","2018"
"Florida","Medicaid","FUA/FUM-AD","6.0","2018"
"Florida","Medicaid","FUA/FUM-AD","8.7","2018"
"Florida","Medicaid","FUH-AD","30.5","2018"
"Florida","Medicaid","FUH-AD","51.1","2018"
"Florida","Medicaid","IET-AD","44.7","2018"
"Florida","Medicaid","IET-AD","4.8","2018"
"Florida","Medicaid","IET-AD","48.1","2018"
"Florida","Medicaid","IET-AD","11.8","2018"
"Florida","Medicaid","IET-AD","40.9","2018"
"Florida","Medicaid","IET-AD","4.9","2018"
"Florida","Medicaid","IET-AD","41.7","2018"
"Florida","Medicaid","IET-AD","6.5","2018"
"Florida","Medicaid","MPM-AD","92.9","2018"
"Florida","Medicaid","HPC-AD","40.9","2018"
"Florida","Medicaid","HA1C-AD","85.7","2018"
"Florida","Medicaid","CBP-AD","55.0","2018"
"Florida","Medicaid","CCP-AD","10.8","2018"
"Florida","Medicaid","CCP-AD","39.4","2018"
"Florida","Medicaid","CCP-AD","0.0","2018"
"Florida","Medicaid","CCP-AD","6.6","2018"
"Florida","Medicaid","PPC-AD","64.5","2018"
"Florida","Medicaid","ABA-AD","89.7","2018"
"Florida","Medicaid","BCS-AD","58.2","2018"
"Florida","Medicaid","CCS-AD","59.8","2018"
"Florida","Medicaid","CHL-AD","70.4","2018"
"Georgia","Medicaid","FUH-AD","31.9","2018"
"Georgia","Medicaid","FUH-AD","51.5","2018"
"Georgia","Medicaid","HPC-AD","94.7","2018"
"Georgia","Medicaid","HA1C-AD","66.6","2018"
"Georgia","Medicaid","ABA-AD","43.3","2018"
"Georgia","Medicaid","BCS-AD","38.0","2018"
"Hawaii","Medicaid","SAA-AD","65.9","2018"
"Hawaii","Medicaid","SSD-AD","72.1","2018"
"Hawaii","Medicaid","PPC-AD","52.4","2018"
"Hawaii","Medicaid","CCS-AD","59.7","2018"
"Hawaii","Medicaid","CHL-AD","55.0","2018"
"Iowa","Medicaid","SAA-AD","37.5","2018"
"Iowa","Medicaid","AMM-AD","29.6","2018"
"Iowa","Medicaid","AMM-AD","21.4","2018"
"Iowa","Medicaid","SSD-AD","80.8","2018"
"Iowa","Medicaid","FUA/FUM-AD","48.8","2018"
"Iowa","Medicaid","FUA/FUM-AD","59.3","2018"
"Iowa","Medicaid","FUA/FUM-AD","40.7","2018"
"Iowa","Medicaid","FUA/FUM-AD","44.7","2018"
"Iowa","Medicaid","FUH-AD","32.8","2018"
"Iowa","Medicaid","FUH-AD","59.8","2018"
"Iowa","Medicaid","IET-AD","34.9","2018"
"Iowa","Medicaid","IET-AD","20.2","2018"
"Iowa","Medicaid","IET-AD","37.2","2018"
"Iowa","Medicaid","IET-AD","29.1","2018"
"Iowa","Medicaid","IET-AD","37.0","2018"
"Iowa","Medicaid","IET-AD","15.3","2018"
"Iowa","Medicaid","IET-AD","34.2","2018"
"Iowa","Medicaid","IET-AD","19.2","2018"
"Iowa","Medicaid","MPM-AD","74.5","2018"
"Iowa","Medicaid","AMR-AD","35.8","2018"
"Iowa","Medicaid","AMR-AD","32.6","2018"
"Iowa","Medicaid","AMR-AD","35.2","2018"
"Iowa","Medicaid","HA1C-AD","55.4","2018"
"Iowa","Medicaid","PCR-AD","1.0416","2018"
"Iowa","Medicaid","PQI01-AD","21.1","2018"
"Iowa","Medicaid","PQI05-AD","92.5","2018"
"Iowa","Medicaid","PQI08-AD","30.0","2018"
"Iowa","Medicaid","PQI15-AD","6.5","2018"
"Iowa","Medicaid","CCP-AD","12.7","2018"
"Iowa","Medicaid","CCP-AD","41.7","2018"
"Iowa","Medicaid","CCP-AD","2.0","2018"
"Iowa","Medicaid","CCP-AD","13.0","2018"
"Iowa","Medicaid","PPC-AD","36.4","2018"
"Iowa","Medicaid","ABA-AD","19.9","2018"
"Iowa","Medicaid","BCS-AD","59.1","2018"
"Iowa","Medicaid","CCS-AD","55.4","2018"
"Iowa","Medicaid","CHL-AD","53.2","2018"
"Kansas","Medicaid","FUH-AD","59.0","2018"
"Kansas","Medicaid","FUH-AD","76.5","2018"
"Kansas","Medicaid","CCS-AD","58.3","2018"
"Louisiana","Medicaid","PQI01-AD","15.6","2018"
"Louisiana","Medicaid","PQI05-AD","56.7","2018"
"Louisiana","Medicaid","PQI08-AD","34.8","2018"
"Louisiana","Medicaid","PQI15-AD","4.0","2018"
"Louisiana","Medicaid","ABA-AD","82.0","2018"
"Louisiana","Medicaid","CHL-AD","68.3","2018"
"Maryland","Medicaid","CBP-AD","62.4","2018"
"Maryland","Medicaid","ABA-AD","92.5","2018"
"Maryland","Medicaid","BCS-AD","66.1","2018"
"Massachusetts","Medicaid","SAA-AD","68.5","2018"
"Michigan","Medicaid","PQI05-AD","100.1","2018"
"Massachusetts","Medicaid","SSD-AD","80.6","2018"
"Massachusetts","Medicaid","FUA/FUM-AD","75.9","2018"
"Massachusetts","Medicaid","FUA/FUM-AD","83.0","2018"
"Massachusetts","Medicaid","FUA/FUM-AD","24.3","2018"
"Massachusetts","Medicaid","FUA/FUM-AD","33.9","2018"
"Michigan","Medicaid","PQI08-AD","30.6","2018"
"Michigan","Medicaid","PQI15-AD","8.4","2018"
"Massachusetts","Medicaid","MPM-AD","87.6","2018"
"Massachusetts","Medicaid","AMR-AD","48.4","2018"
"Massachusetts","Medicaid","AMR-AD","60.1","2018"
"Massachusetts","Medicaid","AMR-AD","52.2","2018"
"Massachusetts","Medicaid","PQI01-AD","9.8","2018"
"Massachusetts","Medicaid","PQI05-AD","61.8","2018"
"Massachusetts","Medicaid","PQI08-AD","15.1","2018"
"Massachusetts","Medicaid","PQI15-AD","8.6","2018"
"Massachusetts","Medicaid","CHL-AD","72.9","2018"
"Michigan","Medicaid","SAA-AD","59.1","2018"
"Michigan","Medicaid","AMM-AD","47.0","2018"
"Michigan","Medicaid","AMM-AD","27.0","2018"
"Michigan","Medicaid","SSD-AD","79.9","2018"
"Michigan","Medicaid","FUH-AD","43.8","2018"
"Michigan","Medicaid","FUH-AD","65.6","2018"
"Michigan","Medicaid","MPM-AD","86.2","2018"
"Michigan","Medicaid","HA1C-AD","82.9","2018"
"Michigan","Medicaid","PCR-AD","0.4948","2018"
"Michigan","Medicaid","PQI01-AD","21.0","2018"
"Michigan","Medicaid","CCP-AD","3.5","2018"
"Michigan","Medicaid","CCP-AD","22.7","2018"
"Michigan","Medicaid","CCP-AD","0.3","2018"
"Michigan","Medicaid","CCP-AD","8.5","2018"
"Michigan","Medicaid","PPC-AD","57.6","2018"
"Michigan","Medicaid","ABA-AD","58.1","2018"
"Michigan","Medicaid","BCS-AD","60.8","2018"
"Michigan","Medicaid","CCS-AD","47.5","2018"
"Michigan","Medicaid","CHL-AD","68.5","2018"
"Mississippi","Medicaid","SAA-AD","57.4","2018"
"Mississippi","Medicaid","AMM-AD","37.3","2018"
"Mississippi","Medicaid","AMM-AD","21.5","2018"
"Mississippi","Medicaid","SSD-AD","70.8","2018"
"Mississippi","Medicaid","FUA/FUM-AD","31.2","2018"
"Mississippi","Medicaid","FUA/FUM-AD","49.2","2018"
"Mississippi","Medicaid","FUA/FUM-AD","5.5","2018"
"Mississippi","Medicaid","FUA/FUM-AD","8.2","2018"
"Mississippi","Medicaid","FUH-AD","33.6","2018"
"Mississippi","Medicaid","FUH-AD","59.4","2018"
"Mississippi","Medicaid","IET-AD","44.0","2018"
"Mississippi","Medicaid","IET-AD","4.3","2018"
"Mississippi","Medicaid","IET-AD","26.0","2018"
"Mississippi","Medicaid","IET-AD","10.1","2018"
"Mississippi","Medicaid","IET-AD","40.9","2018"
"Mississippi","Medicaid","IET-AD","7.0","2018"
"Mississippi","Medicaid","IET-AD","35.3","2018"
"Mississippi","Medicaid","IET-AD","7.3","2018"
"Mississippi","Medicaid","MPM-AD","88.2","2018"
"Mississippi","Medicaid","AMR-AD","45.0","2018"
"Mississippi","Medicaid","AMR-AD","42.9","2018"
"Mississippi","Medicaid","AMR-AD","44.4","2018"
"Mississippi","Medicaid","HPC-AD","56.1","2018"
"Mississippi","Medicaid","HA1C-AD","85.2","2018"
"Mississippi","Medicaid","CBP-AD","41.9","2018"
"Mississippi","Medicaid","PCR-AD","0.4288","2018"
"Mississippi","Medicaid","PPC-AD","57.1","2018"
"Mississippi","Medicaid","ABA-AD","83.0","2018"
"Mississippi","Medicaid","BCS-AD","54.5","2018"
"Mississippi","Medicaid","CCS-AD","62.8","2018"
"Mississippi","Medicaid","CHL-AD","63.8","2018"
"Nevada","Medicaid","SAA-AD","40.1","2018"
"Nevada","Medicaid","SSD-AD","79.4","2018"
"Nevada","Medicaid","FUA/FUM-AD","41.9","2018"
"Nevada","Medicaid","FUA/FUM-AD","51.0","2018"
"Nevada","Medicaid","FUA/FUM-AD","9.2","2018"
"Nevada","Medicaid","FUA/FUM-AD","13.0","2018"
"Nevada","Medicaid","FUH-AD","32.7","2018"
"Nevada","Medicaid","FUH-AD","49.8","2018"
"Nevada","Medicaid","IET-AD","39.2","2018"
"Nevada","Medicaid","IET-AD","9.3","2018"
"Nevada","Medicaid","IET-AD","43.7","2018"
"Nevada","Medicaid","IET-AD","14.6","2018"
"Nevada","Medicaid","IET-AD","39.2","2018"
"Nevada","Medicaid","IET-AD","8.6","2018"
"Nevada","Medicaid","IET-AD","39.4","2018"
"Nevada","Medicaid","IET-AD","9.9","2018"
"Nevada","Medicaid","HPC-AD","43.2","2018"
"Nevada","Medicaid","HA1C-AD","80.5","2018"
"Nevada","Medicaid","CBP-AD","50.0","2018"
"Nevada","Medicaid","CCP-AD","8.6","2018"
"Nevada","Medicaid","CCP-AD","31.3","2018"
"Nevada","Medicaid","CCP-AD","0.2","2018"
"Nevada","Medicaid","CCP-AD","4.4","2018"
"Nevada","Medicaid","PPC-AD","60.6","2018"
"Nevada","Medicaid","BCS-AD","54.3","2018"
"New Hampshire","Medicaid","SAA-AD","79.7","2018"
"New Hampshire","Medicaid","AMM-AD","57.1","2018"
"New Hampshire","Medicaid","AMM-AD","41.0","2018"
"New Hampshire","Medicaid","SSD-AD","81.9","2018"
"New Hampshire","Medicaid","FUA/FUM-AD","75.3","2018"
"New Hampshire","Medicaid","FUA/FUM-AD","84.0","2018"
"New Hampshire","Medicaid","FUA/FUM-AD","22.7","2018"
"New Hampshire","Medicaid","FUA/FUM-AD","34.6","2018"
"New Hampshire","Medicaid","FUH-AD","53.6","2018"
"New Hampshire","Medicaid","FUH-AD","71.7","2018"
"New Hampshire","Medicaid","IET-AD","38.9","2018"
"New Hampshire","Medicaid","IET-AD","13.8","2018"
"New Hampshire","Medicaid","IET-AD","49.6","2018"
"North Carolina","Medicaid","AMM-AD","46.5","2018"
"New Hampshire","Medicaid","IET-AD","34.5","2018"
"New Hampshire","Medicaid","IET-AD","33.5","2018"
"New Hampshire","Medicaid","IET-AD","10.9","2018"
"New Hampshire","Medicaid","IET-AD","40.2","2018"
"New Hampshire","Medicaid","IET-AD","19.6","2018"
"New Hampshire","Medicaid","MPM-AD","87.0","2018"
"New Hampshire","Medicaid","AMR-AD","56.0","2018"
"New Hampshire","Medicaid","AMR-AD","69.0","2018"
"New Hampshire","Medicaid","AMR-AD","58.9","2018"
"New Hampshire","Medicaid","HPC-AD","32.5","2018"
"New Hampshire","Medicaid","HA1C-AD","90.4","2018"
"New Hampshire","Medicaid","CBP-AD","69.7","2018"
"New Hampshire","Medicaid","PQI01-AD","21.1","2018"
"New Hampshire","Medicaid","PQI05-AD","113.7","2018"
"New Hampshire","Medicaid","PQI08-AD","27.2","2018"
"New Hampshire","Medicaid","PQI15-AD","7.0","2018"
"New Hampshire","Medicaid","CCP-AD","12.8","2018"
"New Hampshire","Medicaid","CCP-AD","47.0","2018"
"New Hampshire","Medicaid","CCP-AD","0.9","2018"
"New Hampshire","Medicaid","CCP-AD","16.3","2018"
"New Hampshire","Medicaid","PPC-AD","65.4","2018"
"New Hampshire","Medicaid","ABA-AD","90.7","2018"
"New Hampshire","Medicaid","BCS-AD","60.2","2018"
"New Hampshire","Medicaid","CCS-AD","61.4","2018"
"New Hampshire","Medicaid","CHL-AD","56.6","2018"
"New Mexico","Medicaid","SAA-AD","54.3","2018"
"New Mexico","Medicaid","AMM-AD","48.7","2018"
"New Mexico","Medicaid","AMM-AD","33.2","2018"
"New Mexico","Medicaid","SSD-AD","76.9","2018"
"New Mexico","Medicaid","FUA/FUM-AD","45.6","2018"
"New Mexico","Medicaid","FUA/FUM-AD","59.0","2018"
"New Mexico","Medicaid","FUA/FUM-AD","9.4","2018"
"New Mexico","Medicaid","FUA/FUM-AD","16.7","2018"
"New Mexico","Medicaid","FUH-AD","38.0","2018"
"New Mexico","Medicaid","FUH-AD","61.6","2018"
"New Mexico","Medicaid","IET-AD","37.9","2018"
"New Mexico","Medicaid","IET-AD","12.3","2018"
"New Mexico","Medicaid","IET-AD","47.5","2018"
"New Mexico","Medicaid","IET-AD","26.3","2018"
"New Mexico","Medicaid","IET-AD","40.4","2018"
"New Mexico","Medicaid","IET-AD","11.4","2018"
"New Mexico","Medicaid","IET-AD","39.8","2018"
"New Mexico","Medicaid","IET-AD","14.9","2018"
"New Mexico","Medicaid","MPM-AD","84.0","2018"
"New Mexico","Medicaid","AMR-AD","46.5","2018"
"New Mexico","Medicaid","AMR-AD","54.1","2018"
"New Mexico","Medicaid","AMR-AD","48.6","2018"
"New Mexico","Medicaid","HPC-AD","48.4","2018"
"New Mexico","Medicaid","HA1C-AD","85.7","2018"
"New Mexico","Medicaid","CBP-AD","49.9","2018"
"New Mexico","Medicaid","PPC-AD","57.2","2018"
"New Mexico","Medicaid","ABA-AD","79.9","2018"
"New Mexico","Medicaid","BCS-AD","49.5","2018"
"New Mexico","Medicaid","CCS-AD","52.6","2018"
"New Mexico","Medicaid","CHL-AD","56.6","2018"
"New York","Medicaid","SAA-AD","63.1","2018"
"New York","Medicaid","AMM-AD","52.0","2018"
"New York","Medicaid","AMM-AD","37.6","2018"
"New York","Medicaid","SSD-AD","79.6","2018"
"New York","Medicaid","FUA/FUM-AD","57.7","2018"
"New York","Medicaid","FUA/FUM-AD","70.8","2018"
"New York","Medicaid","FUA/FUM-AD","21.0","2018"
"New York","Medicaid","FUA/FUM-AD","27.5","2018"
"New York","Medicaid","FUH-AD","44.7","2018"
"New York","Medicaid","FUH-AD","61.4","2018"
"New York","Medicaid","IET-AD","41.7","2018"
"New York","Medicaid","IET-AD","15.8","2018"
"New York","Medicaid","IET-AD","56.8","2018"
"New York","Medicaid","IET-AD","34.7","2018"
"New York","Medicaid","IET-AD","48.9","2018"
"New York","Medicaid","IET-AD","20.5","2018"
"New York","Medicaid","IET-AD","45.5","2018"
"New York","Medicaid","IET-AD","19.9","2018"
"New York","Medicaid","MPM-AD","89.4","2018"
"New York","Medicaid","AMR-AD","56.7","2018"
"New York","Medicaid","AMR-AD","58.8","2018"
"New York","Medicaid","AMR-AD","57.4","2018"
"New York","Medicaid","HA1C-AD","84.3","2018"
"New York","Medicaid","PQI01-AD","8.5","2018"
"New York","Medicaid","PQI05-AD","61.1","2018"
"New York","Medicaid","PQI08-AD","18.5","2018"
"New York","Medicaid","PQI15-AD","7.7","2018"
"New York","Medicaid","CCP-AD","9.0","2018"
"New York","Medicaid","CCP-AD","32.2","2018"
"New York","Medicaid","CCP-AD","2.0","2018"
"New York","Medicaid","CCP-AD","8.4","2018"
"New York","Medicaid","BCS-AD","66.9","2018"
"New York","Medicaid","CCS-AD","62.8","2018"
"New York","Medicaid","CHL-AD","69.9","2018"
"North Carolina","Medicaid","SAA-AD","57.7","2018"
"North Carolina","Medicaid","AMM-AD","31.2","2018"
"North Carolina","Medicaid","SSD-AD","76.3","2018"
"North Carolina","Medicaid","FUH-AD","25.4","2018"
"North Carolina","Medicaid","FUH-AD","46.1","2018"
"North Carolina","Medicaid","IET-AD","38.3","2018"
"North Carolina","Medicaid","IET-AD","11.7","2018"
"North Carolina","Medicaid","IET-AD","39.8","2018"
"North Carolina","Medicaid","IET-AD","21.3","2018"
"North Carolina","Medicaid","IET-AD","34.1","2018"
"North Carolina","Medicaid","IET-AD","8.8","2018"
"North Carolina","Medicaid","IET-AD","36.2","2018"
"North Carolina","Medicaid","IET-AD","13.2","2018"
"North Carolina","Medicaid","MPM-AD","89.1","2018"
"North Carolina","Medicaid","AMR-AD","52.1","2018"
"North Carolina","Medicaid","AMR-AD","50.1","2018"
"North Carolina","Medicaid","AMR-AD","51.7","2018"
"North Carolina","Medicaid","HA1C-AD","62.9","2018"
"North Carolina","Medicaid","PCR-AD","0.9603","2018"
"North Carolina","Medicaid","PQI01-AD","23.2","2018"
"North Carolina","Medicaid","PQI05-AD","112.5","2018"
"North Carolina","Medicaid","PQI08-AD","41.9","2018"
"North Carolina","Medicaid","PQI15-AD","9.2","2018"
"North Carolina","Medicaid","CCP-AD","10.8","2018"
"North Carolina","Medicaid","CCP-AD","43.7","2018"
"North Carolina","Medicaid","CCP-AD","0.3","2018"
"North Carolina","Medicaid","CCP-AD","14.9","2018"
"North Carolina","Medicaid","PPC-AD","68.7","2018"
"North Carolina","Medicaid","ABA-AD","28.3","2018"
"North Carolina","Medicaid","BCS-AD","29.5","2018"
"North Carolina","Medicaid","CCS-AD","42.3","2018"
"North Carolina","Medicaid","CHL-AD","64.8","2018"
"Pennsylvania","Medicaid","FUH-AD","56.0","2018"
"Pennsylvania","Medicaid","SAA-AD","69.0","2018"
"Pennsylvania","Medicaid","AMM-AD","51.4","2018"
"Pennsylvania","Medicaid","AMM-AD","37.1","2018"
"Pennsylvania","Medicaid","SSD-AD","88.1","2018"
"Pennsylvania","Medicaid","FUA/FUM-AD","35.3","2018"
"Pennsylvania","Medicaid","FUA/FUM-AD","49.7","2018"
"Pennsylvania","Medicaid","FUA/FUM-AD","15.3","2018"
"Pennsylvania","Medicaid","FUA/FUM-AD","23.2","2018"
"Pennsylvania","Medicaid","FUH-AD","34.9","2018"
"Pennsylvania","Medicaid","IET-AD","30.8","2018"
"Pennsylvania","Medicaid","IET-AD","22.3","2018"
"Pennsylvania","Medicaid","IET-AD","52.6","2018"
"Pennsylvania","Medicaid","IET-AD","47.6","2018"
"Pennsylvania","Medicaid","IET-AD","38.0","2018"
"Pennsylvania","Medicaid","IET-AD","26.8","2018"
"Pennsylvania","Medicaid","IET-AD","41.1","2018"
"Pennsylvania","Medicaid","IET-AD","33.7","2018"
"Pennsylvania","Medicaid","MPM-AD","87.1","2018"
"Pennsylvania","Medicaid","AMR-AD","57.8","2018"
"Pennsylvania","Medicaid","AMR-AD","61.2","2018"
"Pennsylvania","Medicaid","AMR-AD","58.7","2018"
"Pennsylvania","Medicaid","HPC-AD","34.7","2018"
"Pennsylvania","Medicaid","HA1C-AD","87.2","2018"
"Pennsylvania","Medicaid","CBP-AD","64.3","2018"
"Pennsylvania","Medicaid","PCR-AD","0.7501","2018"
"Pennsylvania","Medicaid","PQI01-AD","14.7","2018"
"Pennsylvania","Medicaid","PQI05-AD","94.5","2018"
"Pennsylvania","Medicaid","PQI08-AD","19.4","2018"
"Pennsylvania","Medicaid","PQI15-AD","7.3","2018"
"Pennsylvania","Medicaid","CCP-AD","13.8","2018"
"Pennsylvania","Medicaid","CCP-AD","39.3","2018"
"Pennsylvania","Medicaid","CCP-AD","2.1","2018"
"Pennsylvania","Medicaid","CCP-AD","10.6","2018"
"Pennsylvania","Medicaid","PPC-AD","67.7","2018"
"Pennsylvania","Medicaid","ABA-AD","91.9","2018"
"Pennsylvania","Medicaid","BCS-AD","58.4","2018"
"Pennsylvania","Medicaid","CCS-AD","60.8","2018"
"Pennsylvania","Medicaid","CHL-AD","64.8","2018"
"Rhode Island","Medicaid","SAA-AD","66.2","2018"
"South Carolina","Medicaid","PQI05-AD","129.6","2018"
"South Carolina","Medicaid","BCS-AD","56.7","2018"
"Tennessee","Medicaid","SAA-AD","59.6","2018"
"Tennessee","Medicaid","AMM-AD","47.1","2018"
"Tennessee","Medicaid","AMM-AD","30.6","2018"
"Tennessee","Medicaid","SSD-AD","83.5","2018"
"Tennessee","Medicaid","FUA/FUM-AD","24.7","2018"
"Tennessee","Medicaid","FUA/FUM-AD","41.8","2018"
"Tennessee","Medicaid","FUA/FUM-AD","3.9","2018"
"Tennessee","Medicaid","FUA/FUM-AD","6.1","2018"
"Tennessee","Medicaid","FUH-AD","35.1","2018"
"Tennessee","Medicaid","FUH-AD","57.2","2018"
"Tennessee","Medicaid","IET-AD","45.3","2018"
"Tennessee","Medicaid","IET-AD","11.1","2018"
"Tennessee","Medicaid","IET-AD","46.2","2018"
"Tennessee","Medicaid","IET-AD","18.1","2018"
"Tennessee","Medicaid","IET-AD","42.8","2018"
"Tennessee","Medicaid","IET-AD","11.9","2018"
"Tennessee","Medicaid","IET-AD","41.7","2018"
"Tennessee","Medicaid","IET-AD","12.9","2018"
"Tennessee","Medicaid","MPM-AD","91.6","2018"
"Tennessee","Medicaid","AMR-AD","49.2","2018"
"Tennessee","Medicaid","AMR-AD","47.5","2018"
"Tennessee","Medicaid","AMR-AD","49.0","2018"
"Tennessee","Medicaid","HPC-AD","37.2","2018"
"Tennessee","Medicaid","HA1C-AD","85.4","2018"
"Tennessee","Medicaid","CBP-AD","57.2","2018"
"Tennessee","Medicaid","PCR-AD","2.3072","2018"
"Tennessee","Medicaid","PQI01-AD","13.2","2018"
"Tennessee","Medicaid","PQI05-AD","101.1","2018"
"Tennessee","Medicaid","PQI08-AD","23.8","2018"
"Tennessee","Medicaid","PQI15-AD","3.7","2018"
"Tennessee","Medicaid","CCP-AD","13.2","2018"
"Tennessee","Medicaid","CCP-AD","48.1","2018"
"Tennessee","Medicaid","CCP-AD","0.4","2018"
"Tennessee","Medicaid","CCP-AD","12.6","2018"
"Tennessee","Medicaid","PPC-AD","60.3","2018"
"Tennessee","Medicaid","ABA-AD","90.9","2018"
"Tennessee","Medicaid","BCS-AD","53.8","2018"
"Tennessee","Medicaid","CCS-AD","62.2","2018"
"Tennessee","Medicaid","CHL-AD","57.7","2018"
"Texas","Medicaid","SAA-AD","55.8","2018"
"Texas","Medicaid","AMM-AD","49.6","2018"
"Texas","Medicaid","AMM-AD","34.8","2018"
"Texas","Medicaid","SSD-AD","80.9","2018"
"Texas","Medicaid","FUA/FUM-AD","30.6","2018"
"Texas","Medicaid","FUA/FUM-AD","45.3","2018"
"Texas","Medicaid","FUA/FUM-AD","3.7","2018"
"Texas","Medicaid","FUA/FUM-AD","5.9","2018"
"Texas","Medicaid","FUH-AD","20.7","2018"
"Texas","Medicaid","FUH-AD","38.9","2018"
"Texas","Medicaid","IET-AD","41.2","2018"
"Texas","Medicaid","IET-AD","6.5","2018"
"Texas","Medicaid","IET-AD","37.3","2018"
"Texas","Medicaid","IET-AD","11.0","2018"
"Texas","Medicaid","IET-AD","39.0","2018"
"Texas","Medicaid","IET-AD","8.3","2018"
"Texas","Medicaid","IET-AD","38.4","2018"
"Texas","Medicaid","IET-AD","8.2","2018"
"Texas","Medicaid","MPM-AD","92.7","2018"
"Texas","Medicaid","AMR-AD","54.2","2018"
"Texas","Medicaid","AMR-AD","50.0","2018"
"Texas","Medicaid","AMR-AD","52.7","2018"
"Texas","Medicaid","HA1C-AD","85.7","2018"
"Texas","Medicaid","CBP-AD","43.6","2018"
"Texas","Medicaid","PCR-AD","0.8376","2018"
"Texas","Medicaid","PQI01-AD","17.1","2018"
"Texas","Medicaid","PQI05-AD","150.6","2018"
"Texas","Medicaid","PQI08-AD","66.0","2018"
"Texas","Medicaid","PQI15-AD","4.6","2018"
"Texas","Medicaid","CCP-AD","13.7","2018"
"Texas","Medicaid","CCP-AD","48.5","2018"
"Texas","Medicaid","CCP-AD","0.4","2018"
"Texas","Medicaid","CCP-AD","15.8","2018"
"Texas","Medicaid","PPC-AD","67.7","2018"
"Texas","Medicaid","ABA-AD","70.4","2018"
"Texas","Medicaid","BCS-AD","50.9","2018"
"Texas","Medicaid","CCS-AD","53.4","2018"
"Texas","Medicaid","CHL-AD","61.5","2018"
"Utah","Medicaid","SAA-AD","57.0","2018"
"Utah","Medicaid","SSD-AD","90.1","2018"
"Utah","Medicaid","PCR-AD","0.4761","2018"
"Vermont","Medicaid","ABA-AD","74.0","2018"
"Washington","Medicaid","SAA-AD","64.2","2018"
"Washington","Medicaid","AMM-AD","51.6","2018"
"Washington","Medicaid","AMM-AD","35.9","2018"
"Washington","Medicaid","SSD-AD","85.2","2018"
"Washington","Medicaid","MPM-AD","87.1","2018"
"Washington","Medicaid","AMR-AD","46.1","2018"
"Washington","Medicaid","AMR-AD","53.3","2018"
"Washington","Medicaid","AMR-AD","48.2","2018"
"Washington","Medicaid","HPC-AD","37.4","2018"
"Washington","Medicaid","HA1C-AD","89.2","2018"
"Washington","Medicaid","CBP-AD","59.9","2018"
"Washington","Medicaid","CCP-AD","9.0","2018"
"Washington","Medicaid","CCP-AD","40.0","2018"
"Washington","Medicaid","CCP-AD","0.8","2018"
"Washington","Medicaid","CCP-AD","15.3","2018"
