state,domain,reporting_program,measure_name,measure_abbreviation,measure_type,rate_definition,ffy,population,methodology,state_rate,number_of_states_reporting,median,bottom_quartile,top_quartile,notes,source,statespecific_comments,rate_used_in_calculating_state_mean_and_median,_input_file_date
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,41.8,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2020-12-31
California,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,63.7,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (25 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,Yes,2020-12-31
Colorado,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,33.9,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes FFS, PCCM, and managed care populations (2 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles.",Yes,2020-12-31
Florida,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,60.6,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (12 MCOs) ages 50 to 74, representing 65 percent of the population. Rate excludes FFS population, representing 35 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by a certified HEDIS auditor.",Yes,2020-12-31
Georgia,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,59.9,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes managed care population (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,Yes,2020-12-31
Idaho,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,27.4,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS population. Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2020-12-31
Indiana,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,56.2,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. MCO rates were audited by HEDIS auditors.,Yes,2020-12-31
Iowa,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,56.5,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (3 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2020-12-31
Maryland,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,67.6,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (8 MCOs), representing 84 percent of the population. Rate excludes enrollees in 1 MCO and the FFS population, representing 16 percent of the population, and Medicare-Medicaid Dual Eligibles. Rate was audited by certified HEDIS auditors.",Yes,2020-12-31
Michigan,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,59.5,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (10 MCOs), representing 76 percent of the population. Rate excludes FFS population, representing 24 percent of the population, and Medicare-Medicaid Dual Eligibles.",Yes,2020-12-31
Mississippi,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,52.4,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (2 MCOs), representing 64 percent of the population. Rate excludes FFS population, representing 36 percent of the population, and Medicare-Medicaid Dual Eligibles.",Yes,2020-12-31
Nevada,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,53.8,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (3 MCOs), representing 73 percent of the population. Rate excludes FFS population, representing 27 percent of the population, and Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.",Yes,2020-12-31
New Hampshire,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,56.4,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (2 MCOs), representing 94 percent of the population. Rate excludes FFS population, representing 6 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.",Yes,2020-12-31
New Mexico,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,46.6,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (2 MCOs) ages 50 to 74, representing 67 percent of the population. Rate excludes FFS population and enrollees in 1 MCO, representing 33 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.",Yes,2020-12-31
New York,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,65.4,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (64 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,Yes,2020-12-31
North Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,41.3,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated using NCQA-certified software.,Yes,2020-12-31
North Dakota,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,54.7,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (1 MCO), representing 51 percent of the population. Rate excludes FFS and PCCM populations, representing 49 percent of the population, and Medicare-Medicaid Dual Eligibles. Data sources include MCO claims and audited supplemental EHR data.",Yes,2020-12-31
Pennsylvania,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,57.4,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes managed care population (9 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Data were submitted by MCOs and compiled by the state's EQRO.,Yes,2020-12-31
Tennessee,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,54.8,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes managed care population (4 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,Yes,2020-12-31
Texas,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,50.4,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.",Rate includes FFS and managed care populations (18 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,Yes,2020-12-31
Washington,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,52,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (5 MCOs) ages 50 to 74, representing 95 percent of the population. Rate excludes FFS population, representing 5 percent of the population, and Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.",Yes,2020-12-31
West Virginia,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,50,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (3 MCOs), representing 79 percent of the population. Rate excludes FFS population, representing 21 percent of the population, and Medicare-Medicaid Dual Eligibles.",Yes,2020-12-31
Wisconsin,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2020,Medicaid,Administrative,63.1,47,54.7,50.4,59.5,null,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (14 MCOs), representing 64 percent of the population. Rate excludes FFS population, representing 36 percent of the population, and Medicare-Medicaid Dual Eligibles.",Yes,2020-12-31
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,41.5,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2019-12-31
California,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,56.7,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and managed care populations (25 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was audited using decision support software.,Yes,2019-12-31
Florida,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,60.1,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (11 MCOs) ages 50 to 74, representing 66 percent of the population. Rate excludes FFS population, representing 34 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by a certified HEDIS auditor.",Yes,2019-12-31
Indiana,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,38.4,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (3 MCOs), representing 68 percent of the population. Rate excludes FFS population and enrollees in one MCO, representing 32 percent of the population, and Medicare-Medicaid Dual Eligibles. Rate was audited by HEDIS auditor.",Yes,2019-12-31
Iowa,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,58.8,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and managed care populations (2 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2019-12-31
Maryland,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,66.1,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (8 MCOs), representing 84 percent of the population. Rate excludes FFS population, representing 16 percent of the population, and Medicare-Medicaid Dual Eligibles. Rate was audited by certified HEDIS auditors.",Yes,2019-12-31
Michigan,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,60.3,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and managed care populations (11 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2019-12-31
Mississippi,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,53.3,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (2 MCOs), representing 63 percent of the population. Rate excludes FFS population, representing 37 percent of the population, and Medicare-Medicaid Dual Eligibles.",Yes,2019-12-31
Nevada,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,53.4,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (3 MCOs), representing 74 percent of the population. Rate excludes FFS population, representing 26 percent of the population, and Medicare-Medicaid Dual Eligibles.",Yes,2019-12-31
New Hampshire,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,58.2,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (2 MCOs), representing 73 percent of the population. Rate excludes FFS population, representing 27 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.",Yes,2019-12-31
New Mexico,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,49.4,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (3 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.,Yes,2019-12-31
New York,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,65.8,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and managed care populations (67 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State applied optional exclusions. State conducted an internal validation of the data.,Yes,2019-12-31
North Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,43.6,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2019-12-31
Pennsylvania,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,57.3,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (9 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Data were submitted by MCOs and compiled by the state's EQRO.,Yes,2019-12-31
South Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,56.1,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2019-12-31
Tennessee,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,49.9,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (4 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,Yes,2019-12-31
Texas,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,50.9,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes FFS and managed care populations (32 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,Yes,2019-12-31
Washington,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,54.5,43,53.4,49.1,59.1,null,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (5 MCOs) ages 50 to 74, representing 99 percent of the population. Rate excludes FFS population, representing 1 percent of the population, and Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.",Yes,2019-12-31
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,42.1,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2018-12-31
California,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,54.5,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and managed care populations (26 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was audited using decision support software.,Yes,2018-12-31
Florida,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,58.2,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,"Rate includes managed care population (17 MCOs) ages 50 to 74, representing 67 percent of the population. Rate excludes FFS population, representing 33 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by a certified HEDIS auditor.",Yes,2018-12-31
Georgia,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,38,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and managed care populations (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles and Planning for Healthy Babies (P4HB) demonstration members per CMS Special Terms and Conditions. Rate was validated by the state's EQRO.,Yes,2018-12-31
Iowa,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,59.1,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and managed care populations (3 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State applied optional exclusions.,Yes,2018-12-31
Maryland,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,66.1,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,"Rate includes managed care population (8 MCOs), representing 83 percent of the population. Rate excludes FFS population, representing 17 percent of the population, and Medicare-Medicaid Dual Eligibles. Rate was audited by certified HEDIS auditors.",Yes,2018-12-31
Michigan,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,60.8,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and managed care populations (11 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes,2018-12-31
Mississippi,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,54.5,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,"Rate includes managed care population (2 MCOs), representing 64 percent of the population. Rate excludes FFS population, representing 36 percent of the population, and Medicare-Medicaid Dual Eligibles.",Yes,2018-12-31
Nevada,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,54.3,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes managed care population (3 MCOs). Rate excludes FFS population and Medicare-Medicaid Dual Eligibles.,Yes,2018-12-31
New Hampshire,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,60.2,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,"Rate includes managed care population (2 MCOs), representing 85 percent of the population. Rate excludes FFS population, representing 15 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.",Yes,2018-12-31
New Mexico,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,49.5,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes managed care population (4 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.,Yes,2018-12-31
New York,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64,2018,Medicaid,Administrative,66.9,41,54.6,50.9,59.1,null,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Rate includes FFS and managed care populations (69 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,Yes,2018-12-31
