"state","population","measure_name","measure_abbreviation","state_rate","ffy","reporting_date","postcovid"
"Alabama","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","4.4",2018,2019-06-01,0
"Alabama","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","40.9",2018,2019-06-01,0
"Alabama","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","3.9",2018,2019-06-01,0
"Alabama","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","38.8",2018,2019-06-01,0
"Alabama","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","4.4",2018,2019-06-01,0
"Alabama","Medicaid","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older","MPM-AD","87.2",2018,2019-06-01,0
"Alabama","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","61.4",2018,2019-06-01,0
"Alabama","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","59.2",2018,2019-06-01,0
"Alabama","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","60.8",2018,2019-06-01,0
"Alabama","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75","HA1C-AD","74.9",2018,2019-06-01,0
"Alabama","Medicaid","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older","PQI01-AD","39.4",2018,2019-06-01,0
"Alabama","Medicaid","PQI 05: Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate: Age 40 and Older","PQI05-AD","239.8",2018,2019-06-01,0
"Alabama","Medicaid","PQI 08: Heart Failure Admission Rate: Age 18 and Older","PQI08-AD","66.1",2018,2019-06-01,0
"Alabama","Medicaid","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18-39","PQI15-AD","12.1",2018,2019-06-01,0
"Alabama","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","5.7",2018,2019-06-01,0
"Alabama","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","38.5",2018,2019-06-01,0
"Alabama","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","0.8",2018,2019-06-01,0
"Alabama","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","9.4",2018,2019-06-01,0
"Alabama","Medicaid","Adult Body Mass Index Assessment: Ages 18-74","ABA-AD","46.6",2018,2019-06-01,0
"Alabama","Medicaid","Breast Cancer Screening: Ages 50-74","BCS-AD","42.1",2018,2019-06-01,0
"Alabama","Medicaid","Cervical Cancer Screening: Ages 21-64","CCS-AD","40.2",2018,2019-06-01,0
"Alabama","Medicaid","Chlamydia Screening in Women Ages 21-24","CHL-AD","9.7",2018,2019-06-01,0
"Arizona","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","41.2",2018,2019-06-01,0
"Arizona","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","51.5",2018,2019-06-01,0
"Arizona","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","24.3",2018,2019-06-01,0
"Arizona","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","31.5",2018,2019-06-01,0
"Arizona","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","41.4",2018,2019-06-01,0
"Arizona","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","61.7",2018,2019-06-01,0
"Arizona","Medicaid","Plan All-Cause Readmissions: Ages 18-64","PCR-AD","0.8853",2018,2019-06-01,0
"Arizona","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","7.6",2018,2019-06-01,0
"Arizona","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","33.4",2018,2019-06-01,0
"Arizona","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","0.2",2018,2019-06-01,0
"Arizona","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","9.0",2018,2019-06-01,0
"Arizona","Medicaid","Cervical Cancer Screening: Ages 21-64","CCS-AD","50.5",2018,2019-06-01,0
"Arizona","Medicaid","Chlamydia Screening in Women Ages 21-24","CHL-AD","52.3",2018,2019-06-01,0
"California","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64","SAA-AD","56.7",2018,2019-06-01,0
"California","Medicaid","Antidepressant Medication Management: Age 18 and Older","AMM-AD","46.7",2018,2019-06-01,0
"California","Medicaid","Antidepressant Medication Management: Age 18 and Older","AMM-AD","26.1",2018,2019-06-01,0
"California","Medicaid","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64","SSD-AD","75.3",2018,2019-06-01,0
"California","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","47.1",2018,2019-06-01,0
"California","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","59.1",2018,2019-06-01,0
"California","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","6.4",2018,2019-06-01,0
"California","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","10.7",2018,2019-06-01,0
"California","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","54.4",2018,2019-06-01,0
"California","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","67.0",2018,2019-06-01,0
"California","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","28.2",2018,2019-06-01,0
"California","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","5.3",2018,2019-06-01,0
"California","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","37.9",2018,2019-06-01,0
"California","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","12.6",2018,2019-06-01,0
"California","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","33.6",2018,2019-06-01,0
"California","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","8.7",2018,2019-06-01,0
"California","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","31.2",2018,2019-06-01,0
"California","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","8.0",2018,2019-06-01,0
"California","Medicaid","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older","MPM-AD","87.8",2018,2019-06-01,0
"California","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","53.2",2018,2019-06-01,0
"California","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","59.3",2018,2019-06-01,0
"California","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","55.3",2018,2019-06-01,0
"California","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Poor Control (>9.0%): Ages 18-75","HPC-AD","34.9",2018,2019-06-01,0
"California","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75","HA1C-AD","86.0",2018,2019-06-01,0
"California","Medicaid","Controlling High Blood Pressure: Ages 18-85","CBP-AD","63.5",2018,2019-06-01,0
"California","Medicaid","Plan All-Cause Readmissions: Ages 18-64","PCR-AD","1.2897",2018,2019-06-01,0
"California","Medicaid","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older","PQI01-AD","7.9",2018,2019-06-01,0
"California","Medicaid","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18-39","PQI15-AD","3.2",2018,2019-06-01,0
"California","Medicaid","Breast Cancer Screening: Ages 50-74","BCS-AD","54.5",2018,2019-06-01,0
"California","Medicaid","Cervical Cancer Screening: Ages 21-64","CCS-AD","55.0",2018,2019-06-01,0
"California","Medicaid","Chlamydia Screening in Women Ages 21-24","CHL-AD","65.0",2018,2019-06-01,0
"Connecticut","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","62.6",2018,2019-06-01,0
"Connecticut","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","74.0",2018,2019-06-01,0
"Connecticut","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","21.4",2018,2019-06-01,0
"Connecticut","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","31.5",2018,2019-06-01,0
"Connecticut","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","51.0",2018,2019-06-01,0
"Connecticut","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","70.4",2018,2019-06-01,0
"Connecticut","Medicaid","PQI 08: Heart Failure Admission Rate: Age 18 and Older","PQI08-AD","12.2",2018,2019-06-01,0
"Connecticut","Medicaid","Chlamydia Screening in Women Ages 21-24","CHL-AD","73.0",2018,2019-06-01,0
"Delaware","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","48.1",2018,2019-06-01,0
"Delaware","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","55.5",2018,2019-06-01,0
"Delaware","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","49.9",2018,2019-06-01,0
"Delaware","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","18.3",2018,2019-06-01,0
"Delaware","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","45.7",2018,2019-06-01,0
"Delaware","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","7.6",2018,2019-06-01,0
"Delaware","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","16.7",2018,2019-06-01,0
"Delaware","Medicaid","Cervical Cancer Screening: Ages 21-64","CCS-AD","35.3",2018,2019-06-01,0
"Delaware","Medicaid","Chlamydia Screening in Women Ages 21-24","CHL-AD","65.0",2018,2019-06-01,0
"Georgia","Medicaid","Cervical Cancer Screening: Ages 21-64","CCS-AD","46.7",2018,2019-06-01,0
"Florida","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64","SAA-AD","62.7",2018,2019-06-01,0
"Florida","Medicaid","Antidepressant Medication Management: Age 18 and Older","AMM-AD","52.6",2018,2019-06-01,0
"Florida","Medicaid","Antidepressant Medication Management: Age 18 and Older","AMM-AD","37.2",2018,2019-06-01,0
"Florida","Medicaid","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64","SSD-AD","80.8",2018,2019-06-01,0
"Florida","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","28.0",2018,2019-06-01,0
"Florida","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","45.2",2018,2019-06-01,0
"Florida","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","6.0",2018,2019-06-01,0
"Florida","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","8.7",2018,2019-06-01,0
"Florida","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","30.5",2018,2019-06-01,0
"Florida","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","51.1",2018,2019-06-01,0
"Florida","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","44.7",2018,2019-06-01,0
"Florida","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","4.8",2018,2019-06-01,0
"Florida","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","48.1",2018,2019-06-01,0
"Florida","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","11.8",2018,2019-06-01,0
"Florida","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","40.9",2018,2019-06-01,0
"Florida","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","4.9",2018,2019-06-01,0
"Florida","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","41.7",2018,2019-06-01,0
"Florida","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","6.5",2018,2019-06-01,0
"Florida","Medicaid","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older","MPM-AD","92.9",2018,2019-06-01,0
"Florida","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Poor Control (>9.0%): Ages 18-75","HPC-AD","40.9",2018,2019-06-01,0
"Florida","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75","HA1C-AD","85.7",2018,2019-06-01,0
"Florida","Medicaid","Controlling High Blood Pressure: Ages 18-85","CBP-AD","55.0",2018,2019-06-01,0
"Florida","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","10.8",2018,2019-06-01,0
"Florida","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","39.4",2018,2019-06-01,0
"Florida","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","0.0",2018,2019-06-01,0
"Florida","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","6.6",2018,2019-06-01,0
"Florida","Medicaid","Prenatal and Postpartum Care: Postpartum Care","PPC-AD","64.5",2018,2019-06-01,0
"Florida","Medicaid","Adult Body Mass Index Assessment: Ages 18-74","ABA-AD","89.7",2018,2019-06-01,0
"Florida","Medicaid","Breast Cancer Screening: Ages 50-74","BCS-AD","58.2",2018,2019-06-01,0
"Florida","Medicaid","Cervical Cancer Screening: Ages 21-64","CCS-AD","59.8",2018,2019-06-01,0
"Florida","Medicaid","Chlamydia Screening in Women Ages 21-24","CHL-AD","70.4",2018,2019-06-01,0
"Georgia","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","31.9",2018,2019-06-01,0
"Georgia","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","51.5",2018,2019-06-01,0
"Georgia","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Poor Control (>9.0%): Ages 18-75","HPC-AD","94.7",2018,2019-06-01,0
"Georgia","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75","HA1C-AD","66.6",2018,2019-06-01,0
"Georgia","Medicaid","Adult Body Mass Index Assessment: Ages 18-74","ABA-AD","43.3",2018,2019-06-01,0
"Georgia","Medicaid","Breast Cancer Screening: Ages 50-74","BCS-AD","38.0",2018,2019-06-01,0
"Hawaii","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64","SAA-AD","65.9",2018,2019-06-01,0
"Hawaii","Medicaid","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64","SSD-AD","72.1",2018,2019-06-01,0
"Hawaii","Medicaid","Prenatal and Postpartum Care: Postpartum Care","PPC-AD","52.4",2018,2019-06-01,0
"Hawaii","Medicaid","Cervical Cancer Screening: Ages 21-64","CCS-AD","59.7",2018,2019-06-01,0
"Hawaii","Medicaid","Chlamydia Screening in Women Ages 21-24","CHL-AD","55.0",2018,2019-06-01,0
"Iowa","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64","SAA-AD","37.5",2018,2019-06-01,0
"Iowa","Medicaid","Antidepressant Medication Management: Age 18 and Older","AMM-AD","29.6",2018,2019-06-01,0
"Iowa","Medicaid","Antidepressant Medication Management: Age 18 and Older","AMM-AD","21.4",2018,2019-06-01,0
"Iowa","Medicaid","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64","SSD-AD","80.8",2018,2019-06-01,0
"Iowa","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","48.8",2018,2019-06-01,0
"Iowa","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","59.3",2018,2019-06-01,0
"Iowa","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","40.7",2018,2019-06-01,0
"Iowa","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","44.7",2018,2019-06-01,0
"Iowa","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","32.8",2018,2019-06-01,0
"Iowa","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","59.8",2018,2019-06-01,0
"Iowa","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","34.9",2018,2019-06-01,0
"Iowa","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","20.2",2018,2019-06-01,0
"Iowa","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","37.2",2018,2019-06-01,0
"Iowa","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","29.1",2018,2019-06-01,0
"Iowa","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","37.0",2018,2019-06-01,0
"Iowa","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","15.3",2018,2019-06-01,0
"Iowa","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","34.2",2018,2019-06-01,0
"Iowa","Medicaid","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older","IET-AD","19.2",2018,2019-06-01,0
"Iowa","Medicaid","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older","MPM-AD","74.5",2018,2019-06-01,0
"Iowa","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","35.8",2018,2019-06-01,0
"Iowa","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","32.6",2018,2019-06-01,0
"Iowa","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","35.2",2018,2019-06-01,0
"Iowa","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75","HA1C-AD","55.4",2018,2019-06-01,0
"Iowa","Medicaid","Plan All-Cause Readmissions: Ages 18-64","PCR-AD","1.0416",2018,2019-06-01,0
"Iowa","Medicaid","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older","PQI01-AD","21.1",2018,2019-06-01,0
"Iowa","Medicaid","PQI 05: Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate: Age 40 and Older","PQI05-AD","92.5",2018,2019-06-01,0
"Iowa","Medicaid","PQI 08: Heart Failure Admission Rate: Age 18 and Older","PQI08-AD","30.0",2018,2019-06-01,0
"Iowa","Medicaid","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18-39","PQI15-AD","6.5",2018,2019-06-01,0
"Iowa","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","12.7",2018,2019-06-01,0
"Iowa","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","41.7",2018,2019-06-01,0
"Iowa","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","2.0",2018,2019-06-01,0
"Iowa","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","13.0",2018,2019-06-01,0
"Iowa","Medicaid","Prenatal and Postpartum Care: Postpartum Care","PPC-AD","36.4",2018,2019-06-01,0
"Iowa","Medicaid","Adult Body Mass Index Assessment: Ages 18-74","ABA-AD","19.9",2018,2019-06-01,0
"Iowa","Medicaid","Breast Cancer Screening: Ages 50-74","BCS-AD","59.1",2018,2019-06-01,0
"Iowa","Medicaid","Cervical Cancer Screening: Ages 21-64","CCS-AD","55.4",2018,2019-06-01,0
"Iowa","Medicaid","Chlamydia Screening in Women Ages 21-24","CHL-AD","53.2",2018,2019-06-01,0
"Kansas","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","59.0",2018,2019-06-01,0
"Kansas","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","76.5",2018,2019-06-01,0
"Kansas","Medicaid","Cervical Cancer Screening: Ages 21-64","CCS-AD","58.3",2018,2019-06-01,0
"Louisiana","Medicaid","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older","PQI01-AD","15.6",2018,2019-06-01,0
"Louisiana","Medicaid","PQI 05: Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate: Age 40 and Older","PQI05-AD","56.7",2018,2019-06-01,0
"Louisiana","Medicaid","PQI 08: Heart Failure Admission Rate: Age 18 and Older","PQI08-AD","34.8",2018,2019-06-01,0
"Louisiana","Medicaid","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18-39","PQI15-AD","4.0",2018,2019-06-01,0
"Louisiana","Medicaid","Adult Body Mass Index Assessment: Ages 18-74","ABA-AD","82.0",2018,2019-06-01,0
"Louisiana","Medicaid","Chlamydia Screening in Women Ages 21-24","CHL-AD","68.3",2018,2019-06-01,0
"Maryland","Medicaid","Controlling High Blood Pressure: Ages 18-85","CBP-AD","62.4",2018,2019-06-01,0
"Maryland","Medicaid","Adult Body Mass Index Assessment: Ages 18-74","ABA-AD","92.5",2018,2019-06-01,0
"Maryland","Medicaid","Breast Cancer Screening: Ages 50-74","BCS-AD","66.1",2018,2019-06-01,0
"Massachusetts","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64","SAA-AD","68.5",2018,2019-06-01,0
"Michigan","Medicaid","PQI 05: Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate: Age 40 and Older","PQI05-AD","100.1",2018,2019-06-01,0
"Massachusetts","Medicaid","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64","SSD-AD","80.6",2018,2019-06-01,0
"Massachusetts","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","75.9",2018,2019-06-01,0
"Massachusetts","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","83.0",2018,2019-06-01,0
"Massachusetts","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","24.3",2018,2019-06-01,0
"Massachusetts","Medicaid","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older","FUA/FUM-AD","33.9",2018,2019-06-01,0
"Michigan","Medicaid","PQI 08: Heart Failure Admission Rate: Age 18 and Older","PQI08-AD","30.6",2018,2019-06-01,0
"Michigan","Medicaid","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18-39","PQI15-AD","8.4",2018,2019-06-01,0
"Massachusetts","Medicaid","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older","MPM-AD","87.6",2018,2019-06-01,0
"Massachusetts","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","48.4",2018,2019-06-01,0
"Massachusetts","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","60.1",2018,2019-06-01,0
"Massachusetts","Medicaid","Asthma Medication Ratio: Ages 19 to 64","AMR-AD","52.2",2018,2019-06-01,0
"Massachusetts","Medicaid","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older","PQI01-AD","9.8",2018,2019-06-01,0
"Massachusetts","Medicaid","PQI 05: Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate: Age 40 and Older","PQI05-AD","61.8",2018,2019-06-01,0
"Massachusetts","Medicaid","PQI 08: Heart Failure Admission Rate: Age 18 and Older","PQI08-AD","15.1",2018,2019-06-01,0
"Massachusetts","Medicaid","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18-39","PQI15-AD","8.6",2018,2019-06-01,0
"Massachusetts","Medicaid","Chlamydia Screening in Women Ages 21-24","CHL-AD","72.9",2018,2019-06-01,0
"Michigan","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64","SAA-AD","59.1",2018,2019-06-01,0
"Michigan","Medicaid","Antidepressant Medication Management: Age 18 and Older","AMM-AD","47.0",2018,2019-06-01,0
"Michigan","Medicaid","Antidepressant Medication Management: Age 18 and Older","AMM-AD","27.0",2018,2019-06-01,0
"Michigan","Medicaid","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64","SSD-AD","79.9",2018,2019-06-01,0
"Michigan","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","43.8",2018,2019-06-01,0
"Michigan","Medicaid","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older","FUH-AD","65.6",2018,2019-06-01,0
"Michigan","Medicaid","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older","MPM-AD","86.2",2018,2019-06-01,0
"Michigan","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75","HA1C-AD","82.9",2018,2019-06-01,0
"Michigan","Medicaid","Plan All-Cause Readmissions: Ages 18-64","PCR-AD","0.4948",2018,2019-06-01,0
"Michigan","Medicaid","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older","PQI01-AD","21.0",2018,2019-06-01,0
"Michigan","Medicaid","Contraceptive Care: Postpartum Women Ages 21-44","CCP-AD","3.5",2018,2019-06-01,0
